layer,granularity,m_corrupted,m_patched,delta_restore
0,resid_pre,3.875,3.875,0.0
1,resid_pre,3.875,3.875,0.0
2,resid_pre,3.875,3.9375,-0.0625
3,resid_pre,3.875,3.875,0.0
4,resid_pre,3.875,3.8125,0.0625
5,resid_pre,3.875,3.875,0.0
6,resid_pre,3.875,3.875,0.0
7,resid_pre,3.875,3.875,0.0
8,resid_pre,3.875,3.875,0.0
9,resid_pre,3.875,3.9375,-0.0625
10,resid_pre,3.875,3.875,0.0
11,resid_pre,3.875,3.875,0.0
12,resid_pre,3.875,4.0625,-0.1875
13,resid_pre,3.875,4.0625,-0.1875
14,resid_pre,3.875,4.4375,-0.5625
15,resid_pre,3.875,4.75,-0.875
16,resid_pre,3.875,4.6875,-0.8125
17,resid_pre,3.875,4.875,-1.0
18,resid_pre,3.875,4.75,-0.875
19,resid_pre,3.875,4.6875,-0.8125
20,resid_pre,3.875,5.0625,-1.1875
21,resid_pre,3.875,5.0,-1.125
22,resid_pre,3.875,4.4375,-0.5625
23,resid_pre,3.875,4.5,-0.625
24,resid_pre,3.875,4.4375,-0.5625
25,resid_pre,3.875,4.5,-0.625
26,resid_pre,3.875,4.6875,-0.8125
27,resid_pre,3.875,4.625,-0.75
28,resid_pre,3.875,4.625,-0.75
29,resid_pre,3.875,4.625,-0.75
30,resid_pre,3.875,4.6875,-0.8125
31,resid_pre,3.875,4.625,-0.75
